,Year,Bike/ped deaths,Total bike/ped crashes,Total crashes,Total deaths,bike/ped_death_pct,all_death_pct
0,2008,3,65,3937,12.0,4.615384615384616,0.3048006096012192
1,2009,1,115,4055,3.0,0.8695652173913043,0.07398273736128237
2,2010,1,89,4341,11.0,1.1235955056179776,0.2533978346003225
3,2012,1,88,4014,7.0,1.1363636363636365,0.17438963627304435
4,2014,2,115,4060,13.0,1.7391304347826086,0.32019704433497537
5,2016,1,118,3914,9.0,0.847457627118644,0.22994379151762903
6,2017,1,128,4223,9.0,0.78125,0.2131186360407293
7,2018,3,90,3080,4.0,3.3333333333333335,0.12987012987012986
8,2019,2,113,3289,7.0,1.7699115044247788,0.2128306476132563
9,2020,3,100,4055,7.0,3.0,0.1726263871763255
10,2022,2,101,4061,16.0,1.9801980198019802,0.39399162767791185
